,LoanNumber,DateApproved,BorrowerName,BorrowerAddress,BorrowerZip,LoanStatusDate,LoanStatus,Term,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,RuralUrbanIndicator,BusinessAgeDescription,CD,JobsReported,Race,Ethnicity,BusinessType,Gender,Veteran,ForgivenessAmount,ForgivenessDate
707671,6082237309,04/30/2020,BUSINESS DEVELOPMENT SOLUTIONS LLC,1550 LARIMER ST SUITE 138,80202,,Exemption 4,24,41665.0,41665.0,0.0,U,Existing or more than 2 years old,CO-01,4.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,21078.76,07/09/2021
707677,7291407705,05/01/2020,"SHEER VELOCITY, LLC",1624 MARKET ST,80202,01/22/2021,Paid in Full,24,41665.0,41665.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41931.19,12/22/2020
707704,1595717706,05/01/2020,"SIGNATURE LAW FIRM, LLC",600 17TH STREET STE 2800 SOUTH,80202,08/21/2021,Paid in Full,24,41657.0,41657.0,0.0,U,Existing or more than 2 years old,CO-01,3.0,Black or African American,Not Hispanic or Latino,Limited  Liability Company(LLC),Female Owned,Non-Veteran,42137.81,06/30/2021
707727,7895187102,04/14/2020,POCHITOS TORTILLA FACTORY INC,4417 Tejon Street,80211,09/29/2021,Paid in Full,24,41625.0,41625.0,0.0,U,Existing or more than 2 years old,CO-01,7.0,Unanswered,Hispanic or Latino,Subchapter S Corporation,Male Owned,Non-Veteran,42180.0,08/18/2021
707734,2476547204,04/16/2020,"NSA, LLC",1435 Market St,80202,,Exemption 4,6,41605.0,41605.0,0.0,U,Existing or more than 2 years old,CO-01,6.0,White,Not Hispanic or Latino,Subchapter S Corporation,Male Owned,Veteran,,
707744,1778117107,04/10/2020,KJC LLC,1623 Eudora,80220,05/18/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,42031.02,04/29/2021
707747,1867607310,04/28/2020,OJALA FAMILY LIMITED HOLDING LLC,1501 W 124TH AVE,80234-1727,01/22/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-07,3.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,41862.14,12/28/2020
707753,2344967101,04/10/2020,MARTIN LE LLC,2841 W 120th Ave Unit 100,80234-2881,05/18/2021,Paid in Full,24,41600.0,41600.0,0.0,U,New Business or 2 years or less,CO-07,11.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,42025.24,04/26/2021
707765,3187557107,04/11/2020,VINTAGE DENVER HOMES LLC,4101 E LOUISIANA AVE STE 111,80246-3400,05/18/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,42021.78,04/22/2021
707766,3255297300,04/29/2020,"H3, LLC",2053 KRAMERIA ST,80207,12/09/2020,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,6.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,,
707773,3733357409,05/07/2020,"THE HANNIGAN LAW FIRM, LLC",2000 S Colorado Blvd,80222-7900,10/09/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,42128.09,08/16/2021
707774,4080947307,04/29/2020,AVTECH INTERNATIONAL LLC,"1685 S. Colorado Blvd, Ste S212",80220,06/23/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Black or African American,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,42027.56,05/13/2021
707775,4087047300,04/29/2020,FAS SYSTEMS GROUP,6311 WASHINGTON ST UNIT H,80216-1113,04/21/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-07,2.0,Unanswered,Unknown/NotStated,Partnership,Unanswered,Unanswered,41976.71,03/26/2021
707793,5034857308,04/30/2020,"ID345 LABS, LLC",3575 Ringsby Ct. Suite 314,80216,08/17/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Male Owned,Non-Veteran,42128.09,08/05/2021
707801,5611437007,04/06/2020,AFFILIATED LENDING GROUP,200 Lipan,80223,06/12/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,42062.22,05/20/2021
707809,6325857106,04/14/2020,"ZANN & ASSOCIATES, INC.",7752 E 4TH AVE STE 1C,80230-6411,07/09/2021,Paid in Full,24,41700.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,42071.47,06/04/2021
707816,6935417405,05/15/2020,2020 DENT REPAIR LLC,"5779 CEYLON ST,",80249,07/14/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,42054.13,06/17/2021
707821,7196147309,04/30/2020,BRIGHT ROCK ENERGY LLC,1424 LARIMER ST #100,80202-1916,02/11/2021,Paid in Full,24,41600.0,41600.0,0.0,U,New Business or 2 years or less,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41903.91,01/20/2021
707825,7326317104,04/14/2020,CHARTER FACILITY SOLUTIONS,1390 LAWRENCE ST Ste. 200,80204-2081,05/18/2021,Paid in Full,24,75000.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,42027.56,04/29/2021
707833,7578627001,04/07/2020,GARAGE FILMS INC,3457 RINGSBY CT,80216-1908,07/09/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,White,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,42107.29,06/29/2021
707835,7619937008,04/07/2020,"BRAE, INC.",11095 E. 45TH AVE,80239-3003,06/12/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Not Hispanic or Latino,Corporation,Female Owned,Non-Veteran,42051.82,05/13/2021
707837,7657017004,04/07/2020,TEOCALI ENERGY LLC,511  16TH ST Ste 600,80202-4208,05/18/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,42026.4,04/22/2021
707844,8058607007,04/08/2020,"PALMETTO CLUB ASSOCIATES, LLP",CHERRY CREEK NORTH DR,80209-3825,06/12/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,8.0,Unanswered,Unknown/NotStated,Limited Liability Partnership,Unanswered,Unanswered,42057.6,05/24/2021
707845,8061567107,04/15/2020,"FITZGERALD PETERSEN COMMUNICATIONS, INC.",4100 Montview Blvd.,80207,09/21/2021,Paid in Full,60,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,42172.14,09/01/2021
707852,8220337106,04/15/2020,E R  & ASSOCIATES LLC,562 N. Ogden Street,80218,02/20/2021,Paid in Full,60,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,3.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,41904.31,01/15/2021
707853,8227177000,04/08/2020,"LIVINGSTON &  SHEPHERD TRIAL CONSULTING, LLC",4300 East 9th Avenue #414,80220-3705,04/20/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41984.8,03/17/2021
707857,8645047010,04/08/2020,ASPIRED ENERGY INC,1560 Broadway Suite 105,80202-5130,12/19/2020,Paid in Full,24,41600.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Corporation,Female Owned,Unanswered,41851.88,11/24/2020
707859,8821187006,04/08/2020,GOODHEART BROAD WAY LLC,389 S BROADWAY,80209-1522,03/20/2021,Paid in Full,24,41600.0,41600.0,0.0,U,New Business or 2 years or less,CO-01,7.0,Unanswered,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,41931.66,02/09/2021
707860,8829527202,04/28/2020,APEX MEDICAL DEVICE. LLC,8481 E 54TH DR,80238-3832,02/09/2021,Paid in Full,24,41600.0,41600.0,0.0,U,Unanswered,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41888.89,01/07/2021
707861,8838407007,04/08/2020,"CANYON ENGINEERING GROUP, LLC",2900 N STEELE ST,80205-4848,06/12/2021,Paid in Full,24,41600.0,41600.0,0.0,U,New Business or 2 years or less,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,42058.76,05/20/2021
707862,8845387001,04/08/2020,"ZUCKERT GROUP, LLC",101 S Grape St,80246-1158,05/18/2021,Paid in Full,24,25900.0,41600.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,42035.64,04/29/2021
707885,1289527710,05/01/2020,"LEO AND SONS TRUCKING , L.L.C.",1640 SHERRELWOOD DR,80221,08/19/2021,Paid in Full,24,41585.0,41585.0,0.0,U,Existing or more than 2 years old,CO-07,3.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,42096.68,07/28/2021
707902,8652447206,04/28/2020,"STRATEGIC INVESTMENTS MANAGEMENT, INC.",PO BOX 36125,80236,01/08/2021,Paid in Full,24,41545.0,41545.0,0.0,U,Existing or more than 2 years old,CO-01,3.0,Unanswered,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,41797.68,12/09/2020
707903,1207147210,04/15/2020,ALBECK PROPERTIES LLC,1674 SAINT PAUL ST,80206-1615,01/19/2022,Paid in Full,24,41542.5,41542.5,0.0,U,Existing or more than 2 years old,CO-01,4.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Male Owned,Unanswered,39262.08,09/10/2021
707910,7330427704,05/01/2020,BALLES AUTO SALES LLC,139 FEDERAL BLVD S,80219,05/22/2021,Paid in Full,24,41525.0,41525.0,0.0,U,Existing or more than 2 years old,CO-01,4.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41939.1,04/29/2021
707938,3832287309,04/29/2020,"ROMAN, INC.",1438 ARAPAHOE ST,80202-2204,04/14/2021,Paid in Full,24,41500.0,41500.0,0.0,U,Existing or more than 2 years old,CO-01,10.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,41843.37,03/10/2021
707952,8666117006,04/08/2020,HAVENS PLUMBING INC,312 REED ST,80226-1604,07/09/2021,Paid in Full,24,41500.0,41500.0,0.0,U,Existing or more than 2 years old,CO-07,5.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,41974.94,06/04/2021
707965,2104638006,06/23/2020,GEORGE S CARSON,2727 XANTHIA COURT,80238-2551,10/21/2021,Paid in Full,60,41472.0,41472.0,0.0,U,Existing or more than 2 years old,CO-01,1.0,Unanswered,Unknown/NotStated,Sole Proprietorship,Unanswered,Unanswered,41967.39,09/07/2021
707966,3506647402,05/07/2020,MILE HIGH APPRAISING,2511 BELLAIRE STREET,80207,04/10/2021,Paid in Full,24,41470.0,41470.0,0.0,U,New Business or 2 years or less,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41834.71,03/26/2021
707973,8445717103,04/15/2020,R&R WINDOW SERVICE LLC,4770 FOX ST,80216,12/24/2020,Paid in Full,24,41457.0,41457.0,0.0,U,Existing or more than 2 years old,CO-01,4.0,Unanswered,Not Hispanic or Latino,Partnership,Female Owned,Non-Veteran,41712.65,11/25/2020
708003,8684197001,04/08/2020,"MT WILSON PROPERTIES, LLC",2420 17TH ST 3RD FLOOR,80202-2507,,Exemption 4,24,41420.0,41420.0,0.0,U,New Business or 2 years or less,CO-01,10.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Male Owned,Unanswered,41813.77,04/05/2021
708019,4665217709,05/01/2020,VENTURE FOR SUCCESS PREPARATORY LEARNING,12900 ALBROOK DR.,80239,05/12/2021,Paid in Full,24,41400.0,41400.0,0.0,U,Existing or more than 2 years old,CO-01,6.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,41789.05,04/19/2021
708048,1705247709,05/01/2020,LUMEN CHRISTI GROUP LLC,2442 S DOWNING ST STE 100,80210,04/22/2021,Paid in Full,24,41375.0,41375.0,0.0,U,Existing or more than 2 years old,CO-01,50.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41741.05,03/23/2021
708080,2886637210,04/16/2020,"REAMY CONSULTING GROUP, INC.",3377 BLAKE ST STE 115,80205,05/22/2021,Paid in Full,24,41320.0,41320.0,0.0,U,Existing or more than 2 years old,CO-01,7.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,41718.19,04/08/2021
708083,3083187109,04/11/2020,MAMES CRAFTED GOURMET. LLC,66 S. LOGAN ST,80209-1809,03/13/2021,Paid in Full,24,41316.0,41316.0,0.0,U,Existing or more than 2 years old,CO-01,3.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41665.77,02/19/2021
708093,2262147109,04/10/2020,"7E CO 11, LLC",1962 BLAKE ST STE 200,80202-1230,08/11/2021,Paid in Full,24,41300.0,41300.0,0.0,U,New Business or 2 years or less,CO-01,9.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41828.41,07/29/2021
708119,8970587110,04/15/2020,THE EATING DISORDER FOUNDATION,1901 E 20th Ave,80205,01/08/2021,Paid in Full,24,41300.0,41300.0,0.0,U,Existing or more than 2 years old,CO-01,3.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,41564.77,12/14/2020
708127,7345787710,05/01/2020,SWIFTS BREAKFAST HOUSE INC,930 SANTA DR,80204,08/17/2021,Paid in Full,24,41287.0,41287.0,0.0,U,Existing or more than 2 years old,CO-01,6.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,41785.88,07/15/2021
708143,7172587307,04/30/2020,SAJ HOLDINGS LLC,2300 S PARKER RD,80231,,Exemption 4,24,41250.0,41250.0,0.0,U,New Business or 2 years or less,CO-01,13.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Female Owned,Non-Veteran,36335.69,09/23/2021
708146,7974957204,04/28/2020,TJF STRUCTURAL DESIGN INC,3752 S SEBRING CT,80237-2143,06/23/2021,Paid in Full,24,41250.0,41250.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,41661.35,05/06/2021
708154,3559557207,04/27/2020,QWALLY INC.,"1870 NORTH PENNSYLVANIA AVE, #4523",80203,04/07/2021,Paid in Full,24,41237.5,41237.5,0.0,U,New Business or 2 years or less,CO-01,3.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,41614.85,04/01/2021
708159,2425887103,04/10/2020,"MG ENTERPRISES, INC.",5637 W Colfax Ave,80214-1817,07/20/2021,Paid in Full,24,41230.0,41230.0,0.0,U,Unanswered,CO-07,7.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,41706.69,06/17/2021
708161,8517207800,06/05/2020,TAWAN INC,22 BROADWAY  N,80203,02/17/2022,Paid in Full,24,41229.0,41229.0,0.0,U,Existing or more than 2 years old,CO-01,8.0,Asian,Not Hispanic or Latino,Subchapter S Corporation,Male Owned,Non-Veteran,41910.42,01/28/2022
708187,5617467006,04/06/2020,L&M SENIOR LIVING LLC,501 S CHERRY ST 11th Floor,80246-1302,05/18/2021,Paid in Full,24,41200.0,41200.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Male Owned,Unanswered,41631.46,04/28/2021
708194,7464567009,04/07/2020,"PROBURO SUPPLY, LLC",5635 FRANKLIN ST UNIT C,80216-1514,01/20/2021,Paid in Full,24,41200.0,41200.0,0.0,U,Existing or more than 2 years old,CO-07,5.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,37443.87,12/10/2020
708199,8447197008,04/08/2020,GRAFX PRINTING INC,8310 WASHINGTON ST,80229-5408,06/12/2021,Paid in Full,24,51200.0,41200.0,0.0,U,Existing or more than 2 years old,CO-07,5.0,White,Unknown/NotStated,Corporation,Male Owned,Non-Veteran,41629.17,05/03/2021
708200,8816217008,04/08/2020,UNRAVEL COFFEE INC,1441 Holly St.,80222-3509,05/18/2021,Paid in Full,24,41200.0,41200.0,0.0,U,New Business or 2 years or less,CO-01,8.0,White,Hispanic or Latino,Limited  Liability Company(LLC),Female Owned,Non-Veteran,41605.13,04/08/2021
708218,5699317402,05/12/2020,"SMALL'S ELITE TRANSPORTATION, INC.",1755 S BEELER ST UNIT 10D,80247-2911,,Exemption 4,24,41165.0,41165.0,0.0,U,Existing or more than 2 years old,CO-06,10.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,21144.97,11/12/2021
708220,5448617306,04/30/2020,BARB FRANK INSURANCE AGENCY INC.,261 S. DOWNING ST,80209,02/01/2022,Paid in Full,24,41157.0,41157.0,0.0,U,New Business or 2 years or less,CO-01,6.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,41573.14,05/06/2021
708230,1623637900,06/10/2020,THE WOMENS BAKERY,"1031 33rd Street, Suite 243",80211,03/09/2021,Paid in Full,60,41135.0,41135.0,0.0,U,Existing or more than 2 years old,CO-01,4.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,41408.86,02/11/2021
708243,7518057005,04/07/2020,BRAIN INJURY ASSOCIATION OF COLORADO,1325 S COLORADO BLVD SUITE B300,80222-3301,02/06/2021,Paid in Full,24,247874.0,41105.0,0.0,U,Existing or more than 2 years old,CO-01,29.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,41387.67,12/28/2020
708254,6386667308,04/30/2020,"SOFTTAIL INN, LLC",3834 65TH AVE,80221-2108,02/24/2021,Paid in Full,24,41100.0,41100.0,0.0,U,Existing or more than 2 years old,CO-07,4.0,Unanswered,Not Hispanic or Latino,Corporation,Female Owned,Non-Veteran,37290.07,11/19/2020
708259,7330357108,04/14/2020,"LAPUYADE LAW, LLC",1120 S VINE ST,80210-1831,06/12/2021,Paid in Full,24,41100.0,41100.0,0.0,U,New Business or 2 years or less,CO-01,2.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,41544.11,05/18/2021
708261,7488777105,04/14/2020,KARMA ASIAN CUISINE INC,22 S BROADWAY,80209-1506,07/09/2021,Paid in Full,24,41100.0,41100.0,0.0,U,Existing or more than 2 years old,CO-01,7.0,Asian,Unknown/NotStated,Corporation,Male Owned,Non-Veteran,41563.52,06/03/2021
708271,8857677002,04/09/2020,"HR ADVANTAGE GROUP, LLC",1615 Platte St 2nd Floor,80202-1123,06/12/2021,Paid in Full,24,41000.0,41100.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41553.24,05/20/2021
708274,9902357201,04/28/2020,"THE ORR LAW FIRM, L.L.C.",1355 S COLORADO BLVD,80222,08/20/2021,Paid in Full,24,41100.0,41100.0,0.0,U,Unanswered,CO-01,3.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,41597.7,07/22/2021
708276,7102867302,04/30/2020,"15TH STREET DRINK AND DINE,LLC",1320 15TH STREET,80202,03/12/2022,Paid in Full,24,41090.0,41090.0,0.0,U,New Business or 2 years or less,CO-01,26.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,312.24,09/21/2021
708294,5517157707,05/01/2020,STIMARE LLC,4730 TEJON ST,80211-1257,04/16/2021,Paid in Full,24,41066.0,41066.0,0.0,U,New Business or 2 years or less,CO-01,3.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41414.78,03/10/2021
708295,1279617709,05/01/2020,NEEDLE IN THE HAY,250 STEELE ST STE 212,80206,05/22/2021,Paid in Full,24,41065.0,41065.0,0.0,U,Existing or more than 2 years old,CO-01,5.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41443.96,04/06/2021
708315,8327617706,05/01/2020,"DAYSTROM TECHNOLOGIES, INC.",1805 BELLAIRE ST S,80222,01/22/2021,Paid in Full,24,41039.0,41039.0,0.0,U,Existing or more than 2 years old,CO-01,3.0,Unanswered,Unknown/NotStated,Subchapter S Corporation,Unanswered,Unanswered,41278.39,12/02/2020
708316,4398667709,05/01/2020,SOUTHEAST DENTAL ARTS LLC,4380 S SYRACUSE SUITE 504,80237,09/22/2021,Paid in Full,24,41037.0,41037.0,0.0,U,Existing or more than 2 years old,CO-01,6.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,41551.93,08/13/2021
708324,2057887403,05/05/2020,BOURBON GRILL LLC,571 COLFAX AVE E,80203,05/22/2021,Paid in Full,24,41030.0,41030.0,0.0,U,Existing or more than 2 years old,CO-01,6.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41433.46,04/27/2021
708342,8192737709,05/01/2020,SERA'S RAMEN ENCLAVE,3472 32ND AVE W,80211,06/17/2021,Paid in Full,24,41003.0,41003.0,0.0,U,Existing or more than 2 years old,CO-01,5.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41413.03,05/03/2021
708347,2141757108,04/10/2020,"BELCARO, INC.",1025 S COLORADO BLVD,80246-2403,03/13/2021,Paid in Full,24,41000.0,41000.0,0.0,U,Existing or more than 2 years old,CO-01,7.0,Asian,Not Hispanic or Latino,Corporation,Female Owned,Non-Veteran,41314.52,02/01/2021
708358,5117127209,04/27/2020,"TCC ENTERPRISES, LLC",6810 N Broadway Unit E,80221,06/10/2021,Paid in Full,24,41000.0,41000.0,0.0,U,Existing or more than 2 years old,CO-07,3.0,Asian,Hispanic or Latino,Limited  Liability Company(LLC),Female Owned,Unanswered,41445.31,05/27/2021
708360,5616447009,04/06/2020,STAPLETON FELLOWSHIP CHURCH,8700 E 21ST AVE,80238-3518,06/12/2021,Paid in Full,24,16000.0,41000.0,0.0,U,Existing or more than 2 years old,CO-01,9.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,41443.03,05/11/2021
708367,7453037008,04/07/2020,"JFG WEALTH MANAGEMENT, LLC",1144 15TH ST STE 3950,80211,02/10/2021,Paid in Full,24,41000.0,41000.0,0.0,U,Existing or more than 2 years old,CO-01,3.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41299.92,01/07/2021
708372,8416297000,04/08/2020,HIGHLAND MASSAGE COMPANY,3128 W 32ND AVE,80211-3202,06/12/2021,Paid in Full,24,41000.0,41000.0,0.0,U,Existing or more than 2 years old,CO-01,17.0,White,Not Hispanic or Latino,Corporation,Male Owned,Non-Veteran,41456.69,05/27/2021
708373,8669467110,04/15/2020,"RDI GROUP, LTD.",3055 SAINT PAUL ST,80205,03/11/2021,Paid in Full,24,41000.0,41000.0,0.0,U,Existing or more than 2 years old,CO-01,2.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,39242.67,12/03/2020
708429,1390187709,05/01/2020,THE SPICY RADISH LLC,1758 Newport Street,80220,05/22/2021,Paid in Full,24,40902.0,40902.0,0.0,U,Existing or more than 2 years old,CO-01,14.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Female Owned,Unanswered,41281.68,04/08/2021
708436,2363887401,05/05/2020,JOHN  HARGREAVES,3655 S MONACO PKWY,80231,12/19/2020,Paid in Full,24,40900.0,40900.0,0.0,U,New Business or 2 years or less,CO-01,4.0,Unanswered,Unknown/NotStated,Sole Proprietorship,Unanswered,Unanswered,41093.14,11/02/2020
708448,6978867106,04/14/2020,EAST STAR ENTERPRISES LLC,1528 E COLFAX AVE,80218-2404,08/10/2021,Paid in Full,24,40900.0,40900.0,0.0,U,New Business or 2 years or less,CO-01,10.0,Unanswered,Unknown/NotStated,Limited Liability Partnership,Unanswered,Unanswered,41412.39,07/19/2021
708449,7647417002,04/07/2020,KUZBIEL INSURANCE BROKERS LLC,1930 N Sherman St,80203-1116,03/11/2021,Paid in Full,24,40900.0,40900.0,0.0,U,Existing or more than 2 years old,CO-01,5.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,41254.47,02/17/2021
708464,5310928200,08/07/2020,STUDIO B2SJ,2250 S. DELAWARE ST,80223-4138,03/10/2022,Paid in Full,60,40889.95,40889.95,0.0,U,New Business or 2 years or less,CO-01,2.0,White,Not Hispanic or Latino,Limited  Liability Company(LLC),Male Owned,Non-Veteran,41061.46,01/19/2021
708466,8377127710,05/01/2020,ALL APPLIANCE SERVICE CO. LLC,1167 GRANT ST S,80210,01/22/2021,Paid in Full,24,40881.0,40881.0,0.0,U,Existing or more than 2 years old,CO-01,4.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,37097.16,12/02/2020
708472,4652467704,05/01/2020,NEW GENESIS INC,1680 SHERMAN STREET,80203,10/21/2021,Paid in Full,24,40874.0,40874.0,0.0,U,Existing or more than 2 years old,CO-01,3.0,Unanswered,Unknown/NotStated,Non-Profit Organization,Unanswered,Unanswered,41429.44,09/15/2021
708476,4445817710,05/01/2020,TUYEN NGUYEN LLC PHO 96,2990 W MISSISSIPPI AVE,80219,04/10/2021,Paid in Full,24,40868.0,40868.0,0.0,U,Existing or more than 2 years old,CO-01,9.0,Asian,Not Hispanic or Latino,Limited  Liability Company(LLC),Female Owned,Unanswered,41230.77,03/29/2021
708516,3108347106,04/11/2020,LEA JANES LLC,3200 N PECOS ST,80211,,Exemption 4,4,40800.0,40800.0,0.0,U,New Business or 2 years or less,CO-01,6.0,Unanswered,Unknown/NotStated,Limited  Liability Company(LLC),Unanswered,Unanswered,,
708517,3529827106,04/11/2020,ANGEL AESTHETICS,3400 E Bayaud Avenue #333,80209-2901,02/11/2021,Paid in Full,24,40800.0,40800.0,0.0,U,Existing or more than 2 years old,CO-01,4.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,41119.6,01/25/2021
708534,9684647010,04/09/2020,BROOKS ENERGY COMPANY CORPORATION,50 S STEELE ST STE 600,80209-2065,03/17/2021,Paid in Full,24,40800.0,40800.0,0.0,U,Existing or more than 2 years old,CO-01,4.0,Unanswered,Unknown/NotStated,Corporation,Unanswered,Unanswered,41149.07,02/17/2021
